Tweet ID,Tweet URL,Tweet Posted Time,Tweet Type,Tweet Text,Tweet Text Length,Client,Client URL,Total Retweets,Total Likes,Total Quoted,Total Replies,Language,Sensitive Content,Replying To Username,Mentions,Hashtags,Emojis,Symbols,Total Mentions,Total Hashtags,Total URLs,Total Media,Total Emojis,Total Symbols,Total Polls,URL,Media Type,Media URL,Media Alt Text,Tweet Truncated,Original Author Twitter ID,Original Author Full name,Original Author Screen name,Original Author Location,Original Author Description (Bio),Original Author Website,Original Author Total Followers,Original Author Total Following,Original Author Total Public Lists,Original Author Total Likes,Original Author Total Tweets,Original Author Verified Account,Original Author Protected Tweets,Original Author Has NFT Avatar,Original Author Created At (UTC),Original Author Possible Email,Original Author Possible Phone
1428185299482411010,https://twitter.com/carolinecapital/status/1428185299482411010,2021-08-19 02:41:24,Reply,@theemilyaccount @barnji @queenwartooth @Bonecondor @SBF_FTX yeah already miles ahead of the field,98,Twitter Web App,https://mobile.twitter.com,3,17,1,1,en,,theemilyaccount,"theemilyaccount,barnji,queenwartooth,Bonecondor,SBF_FTX","","","",5,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1428184740406857735,https://twitter.com/carolinecapital/status/1428184740406857735,2021-08-19 02:39:11,Reply,@theemilyaccount @barnji @queenwartooth @Bonecondor @SBF_FTX have you considered: all the men who cold email me asking for jobs every day,137,Twitter Web App,https://mobile.twitter.com,1,20,0,1,en,,theemilyaccount,"theemilyaccount,barnji,queenwartooth,Bonecondor,SBF_FTX","","","",5,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040733256470539,https://twitter.com/carolinecapital/status/1420040733256470539,2021-07-27 15:17:48,Reply,"And there's no catch, no reductio ad absurdum. I think it just works.",69,Twitter Web App,https://mobile.twitter.com,11,55,1,16,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040732329578499,https://twitter.com/carolinecapital/status/1420040732329578499,2021-07-27 15:17:48,Reply,"Then when a new thing comes up, try and ballpark how much it's worth. Below some threshold, ignore it; above some threshold, drop everything and focus on that; otherwise, slot it in somewhere.",192,Twitter Web App,https://mobile.twitter.com,15,68,4,12,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040731167764486,https://twitter.com/carolinecapital/status/1420040731167764486,2021-07-27 15:17:48,Reply,"Maybe every couple of days, make a list of all the most important things I can think of, and get bullshit estimates for how much each is worth, and rank them and start with the most important.",192,Twitter Web App,https://mobile.twitter.com,7,42,1,2,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040730165272576,https://twitter.com/carolinecapital/status/1420040730165272576,2021-07-27 15:17:47,Reply,"Like idk, this is far from perfect in practice but this is pretty much what I try to do when trading.",101,Twitter Web App,https://mobile.twitter.com,9,22,2,3,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040729276059659,https://twitter.com/carolinecapital/status/1420040729276059659,2021-07-27 15:17:47,Reply,"I used to kinda feel that way. But now I think ... you can just focus on things in proportion to their importance, and that just works?",135,Twitter Web App,https://mobile.twitter.com,8,26,0,1,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1420040728244326403,https://twitter.com/carolinecapital/status/1420040728244326403,2021-07-27 15:17:47,Tweet,"There's a reaction people have when they hear about EA that's like ""well but when you do the math, that would mean [all these issues that people care about] are less important than malaria, and we should just spend all our time talking about malaria, but that would be absurd.""",277,Twitter Web App,https://mobile.twitter.com,19,93,1,26,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1419768143925452801,https://twitter.com/carolinecapital/status/1419768143925452801,2021-07-26 21:14:38,Reply,"It comes more from looking for the biggest problems or opportunities, and actually trying to address them. And recognizing that hard decisions are hard and you're gonna get some wrong, but trying not to fuck up the easy ones.",226,Twitter Web App,https://mobile.twitter.com,22,121,10,22,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1419768142591676421,https://twitter.com/carolinecapital/status/1419768142591676421,2021-07-26 21:14:37,Reply,So I don't think success usually comes from getting hard decisions right.,73,Twitter Web App,https://mobile.twitter.com,16,51,12,13,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1419768141337481220,https://twitter.com/carolinecapital/status/1419768141337481220,2021-07-26 21:14:37,Reply,"But the harder it seems, the less additional thinking is likely to help, and time is valuable and indecision is costly.",119,Twitter Web App,https://mobile.twitter.com,8,37,0,3,en,,carolinecapital,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
